Query: [u'1', u'incom', u'tax', u'reduct']
1 0 9684 0 4.89404027213 0 
1 0 9090 0 4.35247245422 0 
1 0 9652 0 4.21764091277 0 
1 0 9574 0 4.17325968148 0 
1 0 9281 0 4.08061527936 0 
1 0 6850 0 3.89606077371 0 
1 0 9891 0 3.86643374373 0 
1 0 7844 0 3.86014278901 0 
1 0 9616 0 3.85175370525 0 
1 0 6171 0 3.84839375566 0 
1 0 9198 0 3.81342499278 0 
1 0 5493 0 3.80304458833 0 
1 0 8446 0 3.79869655152 0 
1 0 6567 0 3.74914717771 0 
1 0 5690 0 3.71136812225 0 
1 0 7732 0 3.69981312391 0 
1 0 9591 0 3.6583593713 0 
1 0 9584 0 3.6583593713 0 
1 0 9665 0 3.58828561414 0 
1 0 7853 0 3.51490031018 0 
1 0 5023 0 3.51490031018 0 
1 0 6915 0 3.48855906696 0 
1 0 8564 0 3.42834484143 0 
1 0 7730 0 3.42691426604 0 
1 0 7735 0 3.41267469153 0 
1 0 8419 0 3.40404717187 0 
1 0 8124 0 3.37787467677 0 
1 0 7745 0 3.33426239297 0 
1 0 9069 0 3.32832530296 0 
1 0 7353 0 3.32486592582 0 
1 0 8871 0 3.20226375415 0 
1 0 6602 0 3.11381750283 0 
1 0 7553 0 3.08780876571 0 
1 0 6473 0 3.07055372639 0 
1 0 8270 0 3.02383593015 0 
1 0 7771 0 3.02383593015 0 
1 0 8375 0 3.00345937715 0 
1 0 5660 0 3.00345937715 0 
1 0 9625 0 3.0 0 
1 0 9394 0 3.0 0 
1 0 9156 0 3.0 0 
1 0 5019 0 2.97459777746 0 
1 0 6927 0 2.9647262576 0 
1 0 7925 0 2.95609873794 0 
1 0 5014 0 2.95180691145 0 
1 0 7980 0 2.92177905962 0 
1 0 6470 0 2.91556410651 0 
1 0 6182 0 2.86877030867 0 
1 0 10034 0 2.86014278901 0 
1 0 8179 0 2.839766236 0 
1 0 6848 0 2.81342499278 0 
1 0 9961 0 2.75431532023 0 
1 0 8922 0 2.75431532023 0 
1 0 7598 0 2.75431532023 0 
1 0 6381 0 2.75431532023 0 
1 0 5936 0 2.75431532023 0 
1 0 5169 0 2.75431532023 0 
1 0 9595 0 2.74568780057 0 
1 0 7183 0 2.74568780057 0 
1 0 5687 0 2.74568780057 0 
1 0 8170 0 2.72790224966 0 
1 0 9860 0 2.72531124756 0 
1 0 9487 0 2.72531124756 0 
1 0 9371 0 2.72531124756 0 
1 0 9247 0 2.72531124756 0 
1 0 6907 0 2.72531124756 0 
1 0 6484 0 2.72531124756 0 
1 0 7811 0 2.70274060259 0 
1 0 6675 0 2.70274060259 0 
1 0 7821 0 2.69897000434 0 
1 0 7909 0 2.69897000434 0 
1 0 5825 0 2.66698689096 0 
1 0 7151 0 2.6583593713 0 
1 0 6964 0 2.6583593713 0 
1 0 9076 0 2.64973185164 0 
1 0 6601 0 2.64973185164 0 
1 0 6308 0 2.64973185164 0 
1 0 8741 0 2.63123281212 0 
1 0 6050 0 2.59891719265 0 
1 0 5506 0 2.59069818069 0 
1 0 9478 0 2.58828561414 0 
1 0 7879 0 2.54390438285 0 
1 0 8370 0 2.54390438285 0 
1 0 6342 0 2.54390438285 0 
1 0 6006 0 2.53527686319 0 
1 0 9530 0 2.51490031018 0 
1 0 9315 0 2.51490031018 0 
1 0 8716 0 2.51490031018 0 
1 0 8193 0 2.51490031018 0 
1 0 7230 0 2.51490031018 0 
1 0 6971 0 2.51490031018 0 
1 0 5954 0 2.51490031018 0 
1 0 5697 0 2.51490031018 0 
1 0 5368 0 2.51490031018 0 
1 0 9192 0 2.48855906696 0 
1 0 7965 0 2.48855906696 0 
1 0 5776 0 2.48855906696 0 
1 0 6849 0 2.48855906696 0 
1 0 6471 0 2.48855906696 0 
1 0 6300 0 2.48855906696 0 
1 0 5698 0 2.48855906696 0 
1 0 5350 0 2.48855906696 0 
1 0 9853 0 2.42082187475 0 
1 0 9499 0 2.42082187475 0 
1 0 8326 0 2.42082187475 0 
1 0 7142 0 2.42082187475 0 
1 0 9079 0 2.42082187475 0 
1 0 8856 0 2.42082187475 0 
1 0 7532 0 2.37787467677 0 
1 0 6967 0 2.37787467677 0 
1 0 5101 0 2.37787467677 0 
1 0 9572 0 2.37787467677 0 
1 0 6894 0 2.37787467677 0 
1 0 8684 0 2.33349344548 0 
1 0 7396 0 2.33349344548 0 
1 0 7206 0 2.33349344548 0 
1 0 5807 0 2.33349344548 0 
1 0 9582 0 2.33349344548 0 
1 0 9078 0 2.33349344548 0 
1 0 7964 0 2.33349344548 0 
1 0 7953 0 2.33349344548 0 
1 0 7335 0 2.33349344548 0 
1 0 6310 0 2.33349344548 0 
1 0 5957 0 2.33349344548 0 
1 0 5672 0 2.33349344548 0 
1 0 5663 0 2.33349344548 0 
1 0 9323 0 2.32486592582 0 
1 0 9322 0 2.32486592582 0 
1 0 9209 0 2.32486592582 0 
1 0 8678 0 2.32486592582 0 
1 0 8605 0 2.32486592582 0 
1 0 8485 0 2.32486592582 0 
1 0 8320 0 2.32486592582 0 
1 0 8058 0 2.32486592582 0 
1 0 7884 0 2.32486592582 0 
1 0 7810 0 2.32486592582 0 
1 0 7163 0 2.32486592582 0 
1 0 7027 0 2.32486592582 0 
1 0 6965 0 2.32486592582 0 
1 0 6640 0 2.32486592582 0 
1 0 5158 0 2.32486592582 0 
1 0 9589 0 2.21041093737 0 
1 0 9484 0 2.21041093737 0 
1 0 9327 0 2.21041093737 0 
1 0 8276 0 2.21041093737 0 
1 0 7623 0 2.21041093737 0 
1 0 6578 0 2.21041093737 0 
1 0 6521 0 2.21041093737 0 
1 0 5569 0 2.21041093737 0 
1 0 9821 0 2.21041093737 0 
1 0 9779 0 2.21041093737 0 
1 0 9545 0 2.21041093737 0 
1 0 9180 0 2.21041093737 0 
1 0 9050 0 2.21041093737 0 
1 0 8710 0 2.21041093737 0 
1 0 8504 0 2.21041093737 0 
1 0 8374 0 2.21041093737 0 
1 0 8162 0 2.21041093737 0 
1 0 7789 0 2.21041093737 0 
1 0 7460 0 2.21041093737 0 
1 0 7386 0 2.21041093737 0 
1 0 6937 0 2.21041093737 0 
1 0 6916 0 2.21041093737 0 
1 0 6796 0 2.21041093737 0 
1 0 6108 0 2.21041093737 0 
1 0 5937 0 2.21041093737 0 
1 0 5907 0 2.21041093737 0 
1 0 5906 0 2.21041093737 0 
1 0 5730 0 2.21041093737 0 
1 0 5664 0 2.21041093737 0 
1 0 5585 0 2.21041093737 0 
1 0 5323 0 2.21041093737 0 
1 0 5145 0 2.21041093737 0 
1 0 9955 0 2.02980062037 0 
1 0 9784 0 2.0 0 
1 0 9389 0 2.0 0 
1 0 8911 0 2.0 0 
1 0 8804 0 2.0 0 
1 0 8709 0 2.0 0 
1 0 8499 0 2.0 0 
1 0 8425 0 2.0 0 
1 0 8409 0 2.0 0 
1 0 8245 0 2.0 0 
1 0 8195 0 2.0 0 
1 0 8173 0 2.0 0 
1 0 8166 0 2.0 0 
1 0 7981 0 2.0 0 
1 0 7887 0 2.0 0 
1 0 7434 0 2.0 0 
1 0 7394 0 2.0 0 
1 0 6951 0 2.0 0 
1 0 6808 0 2.0 0 
1 0 6715 0 2.0 0 
1 0 6589 0 2.0 0 
1 0 6368 0 2.0 0 
1 0 6244 0 2.0 0 
1 0 6116 0 2.0 0 
1 0 5921 0 2.0 0 
1 0 5805 0 2.0 0 
1 0 5579 0 2.0 0 
1 0 5571 0 2.0 0 
1 0 10025 0 2.0 0 
1 0 9968 0 2.0 0 
1 0 9869 0 2.0 0 
1 0 9698 0 2.0 0 
1 0 9648 0 2.0 0 
1 0 9593 0 2.0 0 
1 0 9579 0 2.0 0 
1 0 9415 0 2.0 0 
1 0 9161 0 2.0 0 
1 0 9075 0 2.0 0 
1 0 9071 0 2.0 0 
1 0 8988 0 2.0 0 
1 0 8980 0 2.0 0 
1 0 8925 0 2.0 0 
1 0 8740 0 2.0 0 
1 0 8606 0 2.0 0 
1 0 8545 0 2.0 0 
1 0 8416 0 2.0 0 
1 0 8187 0 2.0 0 
1 0 8019 0 2.0 0 
1 0 8002 0 2.0 0 
1 0 7991 0 2.0 0 
1 0 7987 0 2.0 0 
1 0 7907 0 2.0 0 
1 0 7876 0 2.0 0 
1 0 7842 0 2.0 0 
1 0 7715 0 2.0 0 
1 0 7533 0 2.0 0 
1 0 7407 0 2.0 0 
1 0 7387 0 2.0 0 
1 0 7175 0 2.0 0 
1 0 6871 0 2.0 0 
1 0 6870 0 2.0 0 
1 0 6780 0 2.0 0 
1 0 6512 0 2.0 0 
1 0 6511 0 2.0 0 
1 0 6460 0 2.0 0 
1 0 6410 0 2.0 0 
1 0 6299 0 2.0 0 
1 0 6183 0 2.0 0 
1 0 6133 0 2.0 0 
1 0 5901 0 2.0 0 
1 0 5829 0 2.0 0 
1 0 5686 0 2.0 0 
1 0 5625 0 2.0 0 
1 0 5483 0 2.0 0 
1 0 5464 0 2.0 0 
1 0 5400 0 2.0 0 
1 0 5390 0 2.0 0 
1 0 5387 0 2.0 0 
1 0 5229 0 2.0 0 
1 0 5174 0 2.0 0 
1 0 5115 0 2.0 0 
1 0 5095 0 2.0 0 
1 0 8860 0 1.97679186942 0 
1 0 7872 0 1.97679186942 0 
1 0 5495 0 1.97679186942 0 
1 0 6291 0 1.97459777746 0 
1 0 6685 0 1.839766236 0 
1 0 8050 0 1.82205251244 0 
1 0 7822 0 1.82205251244 0 
1 0 9241 0 1.75574935354 0 
1 0 8547 0 1.75431532023 0 
1 0 9446 0 1.75431532023 0 
1 0 8350 0 1.75431532023 0 
1 0 8201 0 1.75431532023 0 
1 0 6128 0 1.75431532023 0 
1 0 7820 0 1.72790224966 0 
1 0 7428 0 1.72790224966 0 
1 0 9805 0 1.69897000434 0 
1 0 7449 0 1.69897000434 0 
1 0 6904 0 1.69897000434 0 
1 0 6122 0 1.69897000434 0 
1 0 7733 0 1.66698689096 0 
1 0 7146 0 1.66698689096 0 
1 0 5316 0 1.66698689096 0 
1 0 9896 0 1.64973185164 0 
1 0 9532 0 1.64973185164 0 
1 0 9403 0 1.64973185164 0 
1 0 7580 0 1.63123281212 0 
1 0 7367 0 1.63123281212 0 
1 0 9435 0 1.59891719265 0 
1 0 8434 0 1.59891719265 0 
1 0 7433 0 1.59891719265 0 
1 0 8418 0 1.59069818069 0 
1 0 7723 0 1.59069818069 0 
1 0 6696 0 1.59069818069 0 
1 0 6263 0 1.59069818069 0 
1 0 5799 0 1.59069818069 0 
1 0 5608 0 1.59069818069 0 
1 0 8294 0 1.54390438285 0 
1 0 8243 0 1.54390438285 0 
1 0 8041 0 1.54390438285 0 
1 0 8013 0 1.54390438285 0 
1 0 7883 0 1.54390438285 0 
1 0 7216 0 1.54390438285 0 
1 0 6311 0 1.54390438285 0 
1 0 6262 0 1.54390438285 0 
1 0 9953 0 1.51490031018 0 
1 0 9892 0 1.51490031018 0 
1 0 9409 0 1.51490031018 0 
1 0 8970 0 1.51490031018 0 
1 0 8494 0 1.51490031018 0 
1 0 8355 0 1.51490031018 0 
1 0 7949 0 1.51490031018 0 
1 0 7493 0 1.51490031018 0 
1 0 7376 0 1.51490031018 0 
1 0 7232 0 1.51490031018 0 
1 0 7070 0 1.51490031018 0 
1 0 6642 0 1.51490031018 0 
1 0 6457 0 1.51490031018 0 
1 0 5908 0 1.51490031018 0 
1 0 5826 0 1.51490031018 0 
1 0 5665 0 1.51490031018 0 
1 0 5311 0 1.51490031018 0 
1 0 8698 0 1.48855906696 0 
1 0 8407 0 1.48855906696 0 
1 0 8322 0 1.48855906696 0 
1 0 8015 0 1.48855906696 0 
1 0 7892 0 1.48855906696 0 
1 0 7734 0 1.48855906696 0 
1 0 7542 0 1.48855906696 0 
1 0 7106 0 1.48855906696 0 
1 0 6309 0 1.48855906696 0 
1 0 6158 0 1.48855906696 0 
1 0 6126 0 1.48855906696 0 
1 0 6032 0 1.48855906696 0 
1 0 5494 0 1.48855906696 0 
1 0 5486 0 1.48855906696 0 
1 0 5360 0 1.48855906696 0 
1 0 5266 0 1.48855906696 0 
1 0 10033 0 1.42082187475 0 
1 0 9807 0 1.42082187475 0 
1 0 9624 0 1.42082187475 0 
1 0 9592 0 1.42082187475 0 
1 0 9188 0 1.42082187475 0 
1 0 9110 0 1.42082187475 0 
1 0 8957 0 1.42082187475 0 
1 0 8364 0 1.42082187475 0 
1 0 8360 0 1.42082187475 0 
1 0 8314 0 1.42082187475 0 
1 0 8192 0 1.42082187475 0 
1 0 7890 0 1.42082187475 0 
1 0 7744 0 1.42082187475 0 
1 0 7369 0 1.42082187475 0 
1 0 7354 0 1.42082187475 0 
1 0 7169 0 1.42082187475 0 
1 0 7144 0 1.42082187475 0 
1 0 7139 0 1.42082187475 0 
1 0 7117 0 1.42082187475 0 
1 0 7115 0 1.42082187475 0 
1 0 6714 0 1.42082187475 0 
1 0 6672 0 1.42082187475 0 
1 0 6461 0 1.42082187475 0 
1 0 6335 0 1.42082187475 0 
1 0 6119 0 1.42082187475 0 
1 0 6008 0 1.42082187475 0 
1 0 5905 0 1.42082187475 0 
1 0 5798 0 1.42082187475 0 
1 0 5657 0 1.42082187475 0 
1 0 5338 0 1.42082187475 0 
1 0 5292 0 1.42082187475 0 
1 0 9859 0 1.37787467677 0 
1 0 9732 0 1.37787467677 0 
1 0 9694 0 1.37787467677 0 
1 0 9671 0 1.37787467677 0 
1 0 9664 0 1.37787467677 0 
1 0 9212 0 1.37787467677 0 
1 0 9134 0 1.37787467677 0 
1 0 9082 0 1.37787467677 0 
1 0 8435 0 1.37787467677 0 
1 0 8362 0 1.37787467677 0 
1 0 8211 0 1.37787467677 0 
1 0 8025 0 1.37787467677 0 
1 0 7764 0 1.37787467677 0 
1 0 7314 0 1.37787467677 0 
1 0 7229 0 1.37787467677 0 
1 0 6988 0 1.37787467677 0 
1 0 6851 0 1.37787467677 0 
1 0 6825 0 1.37787467677 0 
1 0 6537 0 1.37787467677 0 
1 0 6395 0 1.37787467677 0 
1 0 5929 0 1.37787467677 0 
1 0 5865 0 1.37787467677 0 
1 0 5841 0 1.37787467677 0 
1 0 5641 0 1.37787467677 0 
1 0 5586 0 1.37787467677 0 
1 0 5522 0 1.37787467677 0 
1 0 5435 0 1.37787467677 0 
1 0 9897 0 1.33349344548 0 
1 0 9876 0 1.33349344548 0 
1 0 9422 0 1.33349344548 0 
1 0 8644 0 1.33349344548 0 
1 0 8604 0 1.33349344548 0 
1 0 8478 0 1.33349344548 0 
1 0 8438 0 1.33349344548 0 
1 0 8232 0 1.33349344548 0 
1 0 8223 0 1.33349344548 0 
1 0 8203 0 1.33349344548 0 
1 0 8034 0 1.33349344548 0 
1 0 8005 0 1.33349344548 0 
1 0 7940 0 1.33349344548 0 
1 0 7911 0 1.33349344548 0 
1 0 7823 0 1.33349344548 0 
1 0 7736 0 1.33349344548 0 
1 0 7600 0 1.33349344548 0 
1 0 7593 0 1.33349344548 0 
1 0 7389 0 1.33349344548 0 
1 0 7380 0 1.33349344548 0 
1 0 7371 0 1.33349344548 0 
1 0 7213 0 1.33349344548 0 
1 0 7211 0 1.33349344548 0 
1 0 7130 0 1.33349344548 0 
1 0 7078 0 1.33349344548 0 
1 0 7021 0 1.33349344548 0 
1 0 6961 0 1.33349344548 0 
1 0 6953 0 1.33349344548 0 
1 0 6936 0 1.33349344548 0 
1 0 6919 0 1.33349344548 0 
1 0 6909 0 1.33349344548 0 
1 0 6806 0 1.33349344548 0 
1 0 6693 0 1.33349344548 0 
1 0 6630 0 1.33349344548 0 
1 0 6611 0 1.33349344548 0 
1 0 6519 0 1.33349344548 0 
1 0 6503 0 1.33349344548 0 
1 0 6462 0 1.33349344548 0 
1 0 6246 0 1.33349344548 0 
1 0 6125 0 1.33349344548 0 
1 0 6104 0 1.33349344548 0 
1 0 6030 0 1.33349344548 0 
1 0 5804 0 1.33349344548 0 
1 0 5803 0 1.33349344548 0 
1 0 5693 0 1.33349344548 0 
1 0 5688 0 1.33349344548 0 
1 0 5676 0 1.33349344548 0 
1 0 5521 0 1.33349344548 0 
1 0 5332 0 1.33349344548 0 
1 0 5157 0 1.33349344548 0 
1 0 5123 0 1.33349344548 0 
1 0 5116 0 1.33349344548 0 
